Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,136.271000,-57.463111,180.000000,top
C2,100nF,C_0805_2012Metric,130.027667,-57.463111,180.000000,top
C3,100nF,C_0805_2012Metric,123.784333,-57.463111,180.000000,top
C4,100nF,C_0805_2012Metric,117.541000,-57.463111,180.000000,top
C5,100nF,C_0805_2012Metric,107.061000,-57.463111,180.000000,top
C6,100nF,C_0805_2012Metric,100.851200,-57.463111,180.000000,top
C7,100nF,C_0805_2012Metric,94.641400,-57.463111,180.000000,top
C8,100nF,C_0805_2012Metric,88.431600,-57.463111,180.000000,top
C9,100nF,C_0805_2012Metric,82.221800,-57.463111,180.000000,top
C10,100nF,C_0805_2012Metric,76.012000,-57.463111,180.000000,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.630942,-63.550000,-90.000000,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.420628,-63.550000,-90.000000,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.210314,-63.550000,-90.000000,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.000000,-63.550000,-90.000000,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.789686,-63.550000,-90.000000,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.579372,-63.550000,-90.000000,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.369058,-63.550000,-90.000000,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.158744,-63.550000,-90.000000,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,77.948430,-63.550000,-90.000000,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.738112,-63.550000,-90.000000,top
R1,100uF,R_0805_2012Metric,135.890000,-69.977000,0.000000,top
